Time,Pid,Label,URI,Target URI,Access URI
2016-08-31 14:34:10,1d5cw,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5cw/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5cw,http://testpid.library.emory.edu/ark:/25593/1d5cw
2016-08-31 14:34:10,1d5d1,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5d1/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5d1,http://testpid.library.emory.edu/ark:/25593/1d5d1
2016-08-31 14:34:10,1d5f5,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5f5/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5f5,http://testpid.library.emory.edu/ark:/25593/1d5f5
2016-08-31 14:34:10,1d5g9,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5g9/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5g9,http://testpid.library.emory.edu/ark:/25593/1d5g9
2016-08-31 14:34:10,1d5hf,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5hf/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5hf,http://testpid.library.emory.edu/ark:/25593/1d5hf
2016-08-31 14:34:10,1d5jk,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5jk/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5jk,http://testpid.library.emory.edu/ark:/25593/1d5jk
2016-08-31 14:34:10,1d5kq,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5kq/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5kq,http://testpid.library.emory.edu/ark:/25593/1d5kq
2016-08-31 14:34:10,1d5mv,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5mv/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5mv,http://testpid.library.emory.edu/ark:/25593/1d5mv
2016-08-31 14:34:10,1d5n0,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5n0/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5n0,http://testpid.library.emory.edu/ark:/25593/1d5n0
2016-08-31 14:34:10,1d5p4,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5p4/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5p4,http://testpid.library.emory.edu/ark:/25593/1d5p4
2016-08-31 14:34:10,1d5q8,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5q8/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5q8,http://testpid.library.emory.edu/ark:/25593/1d5q8
2016-08-31 14:34:10,1d5rd,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5rd/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5rd,http://testpid.library.emory.edu/ark:/25593/1d5rd
2016-08-31 14:34:10,1d5sj,Salman Rushdie born-digital archives — unspecified file,https://testpid.library.emory.edu/ark/1d5sj/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d5sj,http://testpid.library.emory.edu/ark:/25593/1d5sj
