Environments,FEDORA,https://libfeddev1.library.emory.edu:8443/fedora/,PIDMAN,https://pidqas.library.emory.edu/domains/30/
Time,PM_Pid,PM_Label,PM_URI,PM_Target_URI,PM_Access_URI,In_Fedora?
2016-08-31 15:03:48,1d3ns,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3ns/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d3ns,http://pidqas.library.emory.edu/ark:/25593/1d3ns,No
2016-08-31 15:03:48,1d3px,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3px/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d3px,http://pidqas.library.emory.edu/ark:/25593/1d3px,No
2016-08-31 15:03:48,1d3q2,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3q2/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3q2,http://pidqas.library.emory.edu/ark:/25593/1d3q2,No
2016-08-31 15:03:48,1d3r6,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3r6/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d3r6,http://pidqas.library.emory.edu/ark:/25593/1d3r6,No
2016-08-31 15:03:48,1d3sb,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3sb/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3sb,http://pidqas.library.emory.edu/ark:/25593/1d3sb,No
2016-08-31 15:03:48,1d3tg,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3tg/,https://marbl.library.emory.edu/collections/rushdie/documents/emory:1d3tg,http://pidqas.library.emory.edu/ark:/25593/1d3tg,No
2016-08-31 15:03:48,1d3vm,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3vm/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3vm,http://pidqas.library.emory.edu/ark:/25593/1d3vm,No
2016-08-31 15:03:48,1d3wr,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3wr/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3wr,http://pidqas.library.emory.edu/ark:/25593/1d3wr,No
2016-08-31 15:03:48,1d3xw,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3xw/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3xw,http://pidqas.library.emory.edu/ark:/25593/1d3xw,No
2016-08-31 15:03:48,1d3z1,Salman Rushdie born-digital archives — unspecified file,https://pidqas.library.emory.edu/ark/1d3z1/,https://fedora.library.emory.edu:8443/fedora/objects/emory:1d3z1,http://pidqas.library.emory.edu/ark:/25593/1d3z1,No
